name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",no product url,12.88,12.88,$,4.5,False
B0BS1QCFHX,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",no product url,0.0,0.0,,4.4,False
B0DWDTY3Z2,"SOULWIT 4Pcs Protective Microphone Foam Cover Pop Filter for Logitech H390/G432/G733, G/H/G Pro/Zone Series Headphones, Mic Cover Windscreen - Black",no product url,7.95,7.95,$,4.6,False
B0BSGQL41X,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone, Cappuccino",no product url,59.99,59.99,$,4.5,False
B08WM3LMJF,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",no product url,49.95,49.95,$,4.5,False
B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",no product url,12.88,12.88,$,4.5,False
B0BS1QCFHX,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",no product url,0.0,0.0,,4.4,False
B0DT1CZVLG,"soundcore Liberty 5 by Anker, Noise-Cancelling Wireless Earbuds, 2x Stronger Voice Reduction, Real-Time Adaptive Noise Cancellation, Fast Charging, Dolby Audio, 6-Mic AI Clear Calls, Long Battery Life",no product url,129.99,129.99,$,4.3,False
B0CTBCDD6D,"JBL Tune 720BT - Wireless Over-Ear Headphones with JBL Pure Bass Sound, Bluetooth 5.3, Up to 76H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",no product url,79.95,79.95,$,4.5,False
